"Intput.file1","Input.word11","Input.word12","Input.word13","Input.word14","Input.word15","Timestamp","Input.rightAnswer1","Answer.wordchoice1","RejectionTime","WorkerId"
"/Users/zhaomengxuan/Documents/bubble noise/qxu-zhe_shi_ma_zi/bpsqxu/ma2_bpsqxu_snr-25_106.wav","ma1","ma2","ma3","ma4","[don't know]","20181108T162641","ma2","ma2","","qxu"
"/Users/zhaomengxuan/Documents/bubble noise/qxu-zhe_shi_ma_zi/bpsqxu/ma4_bpsqxu_snr-25_105.wav","ma1","ma2","ma3","ma4","[don't know]","20181108T162644","ma4","ma4","","qxu"
"/Users/zhaomengxuan/Documents/bubble noise/qxu-zhe_shi_ma_zi/bpsqxu/ma3_bpsqxu_snr-25_106.wav","ma1","ma2","ma3","ma4","[don't know]","20181108T162646","ma3","ma3","","qxu"
"/Users/zhaomengxuan/Documents/bubble noise/qxu-zhe_shi_ma_zi/bpsqxu/ma2_bpsqxu_snr-25_107.wav","ma1","ma2","ma3","ma4","[don't know]","20181108T162649","ma2","ma2","","qxu"
"/Users/zhaomengxuan/Documents/bubble noise/qxu-zhe_shi_ma_zi/bpsqxu/ma2_bpsqxu_snr-25_108.wav","ma1","ma2","ma3","ma4","[don't know]","20181108T162652","ma2","ma1","","qxu"
"/Users/zhaomengxuan/Documents/bubble noise/qxu-zhe_shi_ma_zi/bpsqxu/ma4_bpsqxu_snr-25_106.wav","ma1","ma2","ma3","ma4","[don't know]","20181108T162655","ma4","ma4","","qxu"
"/Users/zhaomengxuan/Documents/bubble noise/qxu-zhe_shi_ma_zi/bpsqxu/ma4_bpsqxu_snr-25_107.wav","ma1","ma2","ma3","ma4","[don't know]","20181108T162700","ma4","ma3","","qxu"
"/Users/zhaomengxuan/Documents/bubble noise/qxu-zhe_shi_ma_zi/bpsqxu/ma1_bpsqxu_snr-25_107.wav","ma1","ma2","ma3","ma4","[don't know]","20181108T162703","ma1","ma1","","qxu"
"/Users/zhaomengxuan/Documents/bubble noise/qxu-zhe_shi_ma_zi/bpsqxu/ma3_bpsqxu_snr-25_107.wav","ma1","ma2","ma3","ma4","[don't know]","20181108T162706","ma3","ma3","","qxu"
"/Users/zhaomengxuan/Documents/bubble noise/qxu-zhe_shi_ma_zi/bpsqxu/ma1_bpsqxu_snr-25_108.wav","ma1","ma2","ma3","ma4","[don't know]","20181108T162708","ma1","ma1","","qxu"
"/Users/zhaomengxuan/Documents/bubble noise/qxu-zhe_shi_ma_zi/bpsqxu/ma3_bpsqxu_snr-25_108.wav","ma1","ma2","ma3","ma4","[don't know]","20181108T162711","ma3","ma3","","qxu"
"/Users/zhaomengxuan/Documents/bubble noise/qxu-zhe_shi_ma_zi/bpsqxu/ma4_bpsqxu_snr-25_108.wav","ma1","ma2","ma3","ma4","[don't know]","20181108T162714","ma4","ma2","","qxu"
"/Users/zhaomengxuan/Documents/bubble noise/qxu-zhe_shi_ma_zi/bpsqxu/ma1_bpsqxu_snr-25_109.wav","ma1","ma2","ma3","ma4","[don't know]","20181108T162716","ma1","ma1","","qxu"
"/Users/zhaomengxuan/Documents/bubble noise/qxu-zhe_shi_ma_zi/bpsqxu/ma3_bpsqxu_snr-25_109.wav","ma1","ma2","ma3","ma4","[don't know]","20181108T162719","ma3","ma4","","qxu"
"/Users/zhaomengxuan/Documents/bubble noise/qxu-zhe_shi_ma_zi/bpsqxu/ma1_bpsqxu_snr-25_110.wav","ma1","ma2","ma3","ma4","[don't know]","20181108T162722","ma1","ma1","","qxu"
"/Users/zhaomengxuan/Documents/bubble noise/qxu-zhe_shi_ma_zi/bpsqxu/ma4_bpsqxu_snr-25_109.wav","ma1","ma2","ma3","ma4","[don't know]","20181108T162725","ma4","ma3","","qxu"
"/Users/zhaomengxuan/Documents/bubble noise/qxu-zhe_shi_ma_zi/bpsqxu/ma2_bpsqxu_snr-25_109.wav","ma1","ma2","ma3","ma4","[don't know]","20181108T162728","ma2","ma2","","qxu"
"/Users/zhaomengxuan/Documents/bubble noise/qxu-zhe_shi_ma_zi/bpsqxu/ma4_bpsqxu_snr-25_110.wav","ma1","ma2","ma3","ma4","[don't know]","20181108T162731","ma4","ma4","","qxu"
"/Users/zhaomengxuan/Documents/bubble noise/qxu-zhe_shi_ma_zi/bpsqxu/ma2_bpsqxu_snr-25_110.wav","ma1","ma2","ma3","ma4","[don't know]","20181108T162734","ma2","ma3","","qxu"
