"Intput.file1","Input.word11","Input.word12","Input.word13","Input.word14","Input.word15","Timestamp","Input.rightAnswer1","Answer.wordchoice1","RejectionTime","WorkerId"
"/Users/zhaomengxuan/Documents/bubble noise/czhou-zhe_shi_ma_zi/bpsczhou/ma4_bpsczhou_snr-25_196.wav","ma1","ma2","ma3","ma4","[don't know]","20181019T190854","ma4","ma4","","czhou"
"/Users/zhaomengxuan/Documents/bubble noise/czhou-zhe_shi_ma_zi/bpsczhou/ma1_bpsczhou_snr-25_196.wav","ma1","ma2","ma3","ma4","[don't know]","20181019T190857","ma1","ma1","","czhou"
"/Users/zhaomengxuan/Documents/bubble noise/czhou-zhe_shi_ma_zi/bpsczhou/ma3_bpsczhou_snr-25_196.wav","ma1","ma2","ma3","ma4","[don't know]","20181019T190901","ma3","ma2","","czhou"
"/Users/zhaomengxuan/Documents/bubble noise/czhou-zhe_shi_ma_zi/bpsczhou/ma2_bpsczhou_snr-25_195.wav","ma1","ma2","ma3","ma4","[don't know]","20181019T190905","ma2","ma4","","czhou"
"/Users/zhaomengxuan/Documents/bubble noise/czhou-zhe_shi_ma_zi/bpsczhou/ma2_bpsczhou_snr-25_196.wav","ma1","ma2","ma3","ma4","[don't know]","20181019T190908","ma2","ma2","","czhou"
"/Users/zhaomengxuan/Documents/bubble noise/czhou-zhe_shi_ma_zi/bpsczhou/ma2_bpsczhou_snr-25_197.wav","ma1","ma2","ma3","ma4","[don't know]","20181019T190912","ma2","ma2","","czhou"
"/Users/zhaomengxuan/Documents/bubble noise/czhou-zhe_shi_ma_zi/bpsczhou/ma4_bpsczhou_snr-25_197.wav","ma1","ma2","ma3","ma4","[don't know]","20181019T190915","ma4","ma4","","czhou"
"/Users/zhaomengxuan/Documents/bubble noise/czhou-zhe_shi_ma_zi/bpsczhou/ma3_bpsczhou_snr-25_197.wav","ma1","ma2","ma3","ma4","[don't know]","20181019T190918","ma3","ma3","","czhou"
"/Users/zhaomengxuan/Documents/bubble noise/czhou-zhe_shi_ma_zi/bpsczhou/ma1_bpsczhou_snr-25_197.wav","ma1","ma2","ma3","ma4","[don't know]","20181019T190921","ma1","ma1","","czhou"
"/Users/zhaomengxuan/Documents/bubble noise/czhou-zhe_shi_ma_zi/bpsczhou/ma1_bpsczhou_snr-25_198.wav","ma1","ma2","ma3","ma4","[don't know]","20181019T190924","ma1","ma4","","czhou"
"/Users/zhaomengxuan/Documents/bubble noise/czhou-zhe_shi_ma_zi/bpsczhou/ma2_bpsczhou_snr-25_198.wav","ma1","ma2","ma3","ma4","[don't know]","20181019T190928","ma2","ma2","","czhou"
"/Users/zhaomengxuan/Documents/bubble noise/czhou-zhe_shi_ma_zi/bpsczhou/ma3_bpsczhou_snr-25_198.wav","ma1","ma2","ma3","ma4","[don't know]","20181019T190931","ma3","ma3","","czhou"
"/Users/zhaomengxuan/Documents/bubble noise/czhou-zhe_shi_ma_zi/bpsczhou/ma3_bpsczhou_snr-25_199.wav","ma1","ma2","ma3","ma4","[don't know]","20181019T190933","ma3","ma3","","czhou"
"/Users/zhaomengxuan/Documents/bubble noise/czhou-zhe_shi_ma_zi/bpsczhou/ma3_bpsczhou_snr-25_200.wav","ma1","ma2","ma3","ma4","[don't know]","20181019T190937","ma3","ma2","","czhou"
"/Users/zhaomengxuan/Documents/bubble noise/czhou-zhe_shi_ma_zi/bpsczhou/ma2_bpsczhou_snr-25_199.wav","ma1","ma2","ma3","ma4","[don't know]","20181019T190940","ma2","ma2","","czhou"
"/Users/zhaomengxuan/Documents/bubble noise/czhou-zhe_shi_ma_zi/bpsczhou/ma2_bpsczhou_snr-25_200.wav","ma1","ma2","ma3","ma4","[don't know]","20181019T190943","ma2","ma3","","czhou"
"/Users/zhaomengxuan/Documents/bubble noise/czhou-zhe_shi_ma_zi/bpsczhou/ma4_bpsczhou_snr-25_198.wav","ma1","ma2","ma3","ma4","[don't know]","20181019T190946","ma4","ma4","","czhou"
"/Users/zhaomengxuan/Documents/bubble noise/czhou-zhe_shi_ma_zi/bpsczhou/ma4_bpsczhou_snr-25_199.wav","ma1","ma2","ma3","ma4","[don't know]","20181019T190950","ma4","ma4","","czhou"
"/Users/zhaomengxuan/Documents/bubble noise/czhou-zhe_shi_ma_zi/bpsczhou/ma1_bpsczhou_snr-25_199.wav","ma1","ma2","ma3","ma4","[don't know]","20181019T190954","ma1","ma4","","czhou"
"/Users/zhaomengxuan/Documents/bubble noise/czhou-zhe_shi_ma_zi/bpsczhou/ma4_bpsczhou_snr-25_200.wav","ma1","ma2","ma3","ma4","[don't know]","20181019T190957","ma4","ma2","","czhou"
"/Users/zhaomengxuan/Documents/bubble noise/czhou-zhe_shi_ma_zi/bpsczhou/ma1_bpsczhou_snr-25_200.wav","ma1","ma2","ma3","ma4","[don't know]","20181019T190959","ma1","ma1","","czhou"
